name,address,type,google_url,photo_url,map_url
Punch Bowl Social,"65 Broadway, Denver",restaurant | food | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJXYUFKCB_bIcRtKd6nOvWTJo,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3lLsHcdPG9gy4f9gtOPg8OUaRtHGWo-sElgBNIi-wxlhDRBFCUnJW6XZ_Zu5ZUgQZ3sITnoj60Co0b6scQWtxmsM4EvTDu0qFgo6MSa1HWX55EhuYo8oc-eM23l5VXv7EFrPhF01sfwiPx9ty8LKDJPn1gllfiFEMsWNgwI3dr_MAf_90X-EVdALKczzF-VzSJZ157ego9bOR_IbqdJ8E8UVx-7nlfO1jJQ1S9z2kqbQYImzat4I2tu4NmLhZwuWLoFOSE60fHew-Ihsh_nYBnmS8K5p4RtT0lbg2jH9mX7C3lX01CcudPdk8y9PISjfiZA8Saz7YzT3COFpKDm2xPshAbRX-Sk9Y3nIHrDeoTXDUstLhrmlwgcd_iSXLfGRa7lo4TO21BYJHPmQa6n2xPvjTa4XZgUHXYUubDQxpr0RE6ZBkBmvHTQeuB8GQD5ewnPrWXo_rkAKyEQMAM6TqYoOKJrUsC5Nx-H2GyCRTVDjmL4a9KB84eC_XfCnpN3y6PrE1NI933RBP61Vr9882tr4hUvyMRhpTNC_3hfHe3pJ3Y0I4J5cbO_84IvdqrF9ZP6A7ICS3unMsrU879iaZN3UE1HqaiKwjRGvMnaV_TuH6s7KZNe2J936XtHFxPz&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.71792860000001,-104.9879806&zoom=17&size=400x300&markers=color:red%7C39.71792860000001,-104.9879806&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Landmark's Mayan Theatre,"110 North Broadway, Denver",movie theater | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJFcuDJCB_bIcRNuYcjTTQ-wI,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3mrRbdxhC-t7vqSeoAW3dU3-rZiCUhFa-oHbtrnkv8EM4vjrVxSXmcraq4tTMCoOv2q9nJ_amGAdBkkyMyMWlJiMh9grES50smFp3I_It2tqPwOvn6IKyRg5qN4v9gfaUYgvQZd2eqZhW0bBO-AliMbEdTg_VImm-hEg0aIaKe5AhRYw6LEoQI8tr7TaJHu6trFMomYAbIkmr_u8Ow0mTQ4DyD59qztyUPg9EMe01bfoargHpVz7RBhiTXy7g-8Civjats7yCIzkq86zxmj4IUzBNp-KwLAiGMAlpb18w6x3sJXfJ5gj8t2tp_HPpCnr-SE_7Q5u7NX3uI-1EP1RW7Gnenq1SdnhssCb259Pw9LwGUdCR_S6mmirR5AKUCvADlAiDK4IZUfutrKmwUGLutpIa8ncDR8oJ3mI1BdMpPeHimaOt_zXIshtMcfOFBqWQJqgHAb5sbXu-cPs6YHuR3go6o7pKVevQzPmXNazuAh7AF4LHl4tip8BJpSm9M1DyQYY1y_UdlDUAhtex_u3xtr1LDyFwjfr3qHLIJfmlTq3f0j4ovMAxs4IA7kex116pX0WUZXwjznXRjApPEndLGMq6XIAIkSnCJCbD-JnybUHOzhYLeNhWhestkGaPMS2QR_Bg&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.718636,-104.987101&zoom=17&size=400x300&markers=color:red%7C39.718636,-104.987101&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Waterworks Car Wash & Detail Center,"276 Broadway, Denver",car wash | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJk6fLYSB_bIcRMNahITn8yr8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3mxnxKrt7Kw0REOKB0AZmlMM8-oJpONr8DwyMqrwtjnfROtuQnp0How8hiitJaskwIbaaVcLmTybE78XI9wt2juobQG3W4xCJeFdldS9NV4mvgH62jR-wa_EYWf0F1latgL9ArNr1SJUdHU5uKOuSlxowjh6t36cyc4WT8fRswKota5HDv1IdTdqQUJsFWrc-I5d9fUttVahDn1G3zXutBNlsVIOa2ZUOFuds1OMmiU7DZS7_GYbxlOCew4dx0UhOJ6Iy-gD6Kqu1cfPG0K8Ld1YEm1jitEn5ivTTgYAqFrwLoSDEdtbY0C4DYPwqjX9X_baYyi5VOOZFY_heipdBP3wP1uRKvuKd45HvoT04dUmV-GFS6tKvqo3kooamFfYK8v3WJZvEfFA3D71L1TJWuz7KbL6-otYnoEJMWWpHDsQ0TGbkl6DGp63_RzXxStZLR2j4TsHJNwq4z0vAb9Qsewn3ZsTjS_Fd_rQxNIjMWuKZbkYNviJZTu2vjz-ihM-l-jkLSD6G9Zc8Ho6We3UsnkXylWwbWStJzedSTbzlcrfVL3Yypg1FCW9HzSfxkpahTQcuxCEDKF1nWOMZZZ4NTNLmFQir-PqE13rhfNx68cF2Nw6JLDJwhdvt7IoKf1OFyjLlQV&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.72058500000001,-104.9864646&zoom=17&size=400x300&markers=color:red%7C39.72058500000001,-104.9864646&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
CorePower Yoga - Broadway,"277 Broadway, Denver",gym | health | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJcxAZ9iB_bIcRBPwJt25H9c4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3khhL478d4qNzVtQDlolDm2GaVcvLKfpGTxn9Dt-6_y4aYHHrkrs4RfMfNn3trqqXykFGWDa00oNNRR7HkSgrJHceloXf34ls8uvNS25zQxJBdqvWdOo7k3nEFJcBi7HQekuHNhr1ZSbKGryxrUWFAhtRyvL13injY_Yww4BkPPlaWFDPL6mwGmbymkb3NI_TA-wSzXcaatdp_qkV_QQrZF4_0DFKOa9H2TYOiFGmkRnETQYLHia_SLs4_3-W0j1K1NWTn3Q8UbbIpiS0uJ4TQ_YCBYLQEvFBBroBczEqMve_YatN0TZ-_8AZz-OTh3T2HKQxyxZe7fr_jHtXNdrmDEwyd_h98RspWHjty-l7BeB8l6_hGeM5ZnjxX8Y1-B7de6GHQ9oi006pf_dZWe3XNwq-9H4e4g4x7aXy8eY5PmfA-Z_pL-GEnZHx2jITxzwswuca1FDqacACOGtjzwWyXFjkH6jXTlrQrbrvclhe3OxDL7_YlMilSDuB0JVS9ZgjPP8BJ9G7nhW1rllOTiAtujC3fWyucDFqK08lnmFounmjpAE6ayqJZtR0aII6qYlH-cjEdh1Cqdq0eNDWpq1FPyAlBl4qv-zkQphpiIikxHD-fnxQNBW0VGeK1QY2Wj&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.72047329999999,-104.9877874&zoom=17&size=400x300&markers=color:red%7C39.72047329999999,-104.9877874&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
ATM Only - Community Banks of Colorado,"277 Broadway C, Denver",bank | finance | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJcxAZ9iB_bIcRdQUoLYMrRcY,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3n8hFAKZhfn8lVxCNPhjJ8wz5KRwS6xcE-ZafWvJlEY2A8SZl6ShIe0h5bkR4vWyQlUOiKPmAb3rw4xUMA3BZDnvenalvfgpUboqaSk_68hWM77NqB-DwYHcxvlf8wdrxMtRJBS9tGz-mlV_Hsm-8mUtb7Cj-Zr6SoULFO5OBJJZ7jdSUdtc5EzCyVf7AsycffC0ExSR5z2qLaxp_yNa0BHEMfq4TVqYUYHZQT1v-1DIkf_DCoWsXYPxP7Y2J8u1TIYjsV50wT20IiHFxEhze6kZzq0xPOzBsB1-YeygfWBrMzeu-3PNheT6cl4LVmhFQZucze3aaKBcvDIhr6sboJFvxjvwBf7dsuy5WgHbgvFUEUAFtyMuE7iq0n8MqfjWYUNhE55cbQbfPH6LD1PEP_G13j1KpydZWswCDPyae7fEtJBjZn2rII5io474dJJOJ3J6JOWNjUBCY_Ke0ytexjdNNb6CZ5PNAINqRJsyenaP9JNzhYh4iSmEghyC_z4oOQckYno7l8Tsu0U_J1geVkI0NHve3GqTP7IO41cM3mtgnsTKjmG3AGP8X2vxEqSVf-Kvyjmp9CW1OUWEPdKD5wgBn2Bshxyby8fvFQfpwLXY3qsyl0GQuZzcNZaea0ho6UohQ&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.720416,-104.9878293&zoom=17&size=400x300&markers=color:red%7C39.720416,-104.9878293&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Walgreens,"120 North Broadway, Denver",drugstore | clothing store | convenience store | health | store | food | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJQ_aoJCB_bIcRjN6sFB06Dck,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3kCBGBx00FOdL8jWOb002zHtIddTKyQ00KWHbD4eI_n6lXzh0MGh6sAQbbPKQP3_YrOMALnpju3tyLY23VIrCFCdl6KZNkmJecIN1sVIqUPtA9QGIUQI0aZBqUazWnpUnxz7gLX0MtupRZ-ph-RixfSSfNvocil2SxkEjzux1GwsllNVgiaJNo5GDTyZqYCRKTYxxSfypo-BfN6s6zdKonqiKT3BhBpynXJLy31lMFxE7-pmG1arJvJUpUHHOjiVfEFX3Syqe8P3ppKC_ceToljhfB0yOffpQ3nnR7C2OJJsk8YBjPM6CT8omMjmkWGqRL6ltJECLp6H8gO_luSm1psqO1TDSPLxfZvi3b7sW1Dyink618Gf7qM4rOWLSW4cNfWXPzD2tu5m1SLTFBLBMDxghhxeNBg-kaT8QwCh0f5H0w46pr_esvaKih_-hOZ8i_TO-IjeyNL3vTU2nUj6t2Z3an8hvTfBIAcQKBz_ohKYui11Bi1xFJWK8rUpE933GWp6MmVbQI-yUnpzryqRvAuRL8EsoIHytI0ZYI5bUxE6AdSw6xNqWIDgaW_iVaE3ptpjzs2pCSN6PAh6c3AbJ9zWT_i2Dz2f4AHFgvrHA3v-B0x290Z9AVv2qDP1cv-51ibR8IM&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.7188381,-104.9870896&zoom=17&size=400x300&markers=color:red%7C39.7188381,-104.9870896&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Mario Masitti Studios,"277 North Broadway, Denver",point of interest,https://www.google.com/maps/place/?q=place_id:ChIJcxAZ9iB_bIcRPujB8v_uDBs,,"https://maps.googleapis.com/maps/api/staticmap?center=39.72048300000001,-104.9878621&zoom=17&size=400x300&markers=color:red%7C39.72048300000001,-104.9878621&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
"Out-U-Go! Pet Care Services, Inc.","227 Broadway #204, Denver",point of interest,https://www.google.com/maps/place/?q=place_id:ChIJXSblWiB_bIcRyFaH9FoOix0,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3nfY6Pi2QcWg4kZzFVE_pH-rR_hxt0Zoj59JU9cK7HOgbrbWV9AOBjaoVxKi9q4TYeBCDLNG5eggnLBoqa-LMMtipe0yCS0Z9RqMmtsXYWL5hFu9PgncKXT4oZp8qv0IXtmCGtn9Mf9mFdM5KUxpwviv3lMomker6WxKZZHqlPCTXrOEMiD97OnGPbCit1BAvdG_Mu32s13uOrVoD0xU8zLWryLbwnIK0powZB3drJ7Ow1bCbg0ddi2_cIRvbpVdWFQEyZgCWi3CAniLOcrNlJjNQv05NU8tC5rTltDY0e-3mki4z1QPi7xwt21dOetYxkCIP4svfRBaQwinFizaTLLZ6UM_BORZyvFruQY2xWAUw808y0qwUGWUKptUbfL-WC3qoY9LNyLYletvR16inopBajPpVrf-L7gicSB-BHKMDa7bqHU3Ja-SCebkGAb1OxJ5qXVXDdZ7ta7hCW_noJGlWIW8A8Jf2DOBraXsD6KsY42-wPO7RW8-DevUwJR-0xuD0SjkjyjkGH5Ei2zjkw-TGeVPA4WLExVii6vIMBMye_ZuhuXgz3KZ7XHZ9yceKdjtqYZkY9lyYI72faaf3frJjNBDdGM-GMIRuypUqKhtCXrPxATCPlKiLVfY9nlUWLrFw&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.7199518,-104.9879967&zoom=17&size=400x300&markers=color:red%7C39.7199518,-104.9879967&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Sweet Action,"52 Broadway, Denver",bakery | store | food | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJWfaqjh9_bIcRc3JdoyL4Pr8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3kgBVrsF-CABfD34oBtuUjz92v5Xw_1X84ALrYybV6Xcmw0G77USBzDGsy0ujw_vGkSY60MuuQ53cnzwvphndb6wnRl0I31SmE8EHiUbjllxK6ioN72XEH7EYFEm6L51Gh98BnY655_8r906eUpyShjaR9ir5snClPyvgDM5Ei51gcsMskbLNkxlm1Zf5jlFv-Cq190abjVQTy0HprcFGRLF-Gir4Zlo4OwKkFAs9XVVAZ0ueyUkJgPPu069PI008dTM3w3YLUK73OFaLYY59A05Xf7dbXqh8gKnHIxBM1W5G-XvKi3br_FBNO4RU2CjbcMKr64B_IWyg0lWXmZZ1JCx0GIdRNps1T5bLhN8RB22M4oNh58uM2hyYMZTD0c9m20gX31ehhnRxPG2hWFGkzZ6Y5dG33J9vvy1La3QY1jBIHxrneKmcUaAP8LL4V0WydDZn0OPdGCasnrb0sbw7hhqWlml-AEb8ZUhxKJ42MYOg9sobQUv5k3N4MX8dm34YZLo0i6WTL--9vJaC0c7NptxputUObg9Faf1Ay_YF8Czk_b9bpxPc6P9xLMUdTLT-Yut3k4LmuZPqc26rL_N3DYWHVhGCNjjdq-AOGv49AYovjRidIVFGLyOlFLB3wAR2YLiLB_Uq7s5Ud-54dsbfnT4EM&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.7175995,-104.987272&zoom=17&size=400x300&markers=color:red%7C39.7175995,-104.987272&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Illuzion Glass Galleries,"238 Broadway, Denver",store | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJ81TzWyB_bIcR-9bI6joFryc,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3kslS_QITrMvoMvNBV6wWM-XDAjgtGP6Ro7iKOiTRBDWv4yuaJEJFjin84IjAw7vxN7ehK4nuGif1BI8IHOI6x0PSqQuOU54QXHVYrtu9gTSm-m2y0cY7qhZZYn16wfN17pv0PE0_yqCoO1UTQp8p9KF7LuHqzCLdsyVZ1iSyKSSieFvHDG5EGNL8edpIven8tT7iFPk7itqyvNbvYwPOjKQjGG5RTYu0XtmyHxSY9T1f0mu1JbnZEjZ62JfFI8WrEBCKEEq14Su2WdDfC8Ax5oqrhc88PMXOojC9DoI6Jgr-VK8iXY2eMfFqiG0axghC4-sRWgdnJ8n0pLqpJO8Je-0_QqXQ-NYxb_Ej-LB8huF8W0rWTc0nLzA6YWYJQKigqXkXbwAfY35_7Q6eMDMF3XNEUfzWpfRhIIaDjObzwktjyzB2GGYHccb3gbvlOyWiKHEAKXZgvYoVBM-z-ZArMUnd3ZgA7nBtPf37t6nHxPf3_yDpROuZxoFXDLgDUAJ_QwI6WvlLCfJQQnznevTGLr69FT1EI69wj0pVgid4TaVcsJctxqF9KFRIT-1RUvPCoOaCWyn-xG2sWz5QIJrVMUaH88VS_pV5R8NYruKf4EXrvskA9QV-Xp4xMJkcrD&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.7202376,-104.9872581&zoom=17&size=400x300&markers=color:red%7C39.7202376,-104.9872581&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
